scenario_name,distance_label,target_distance_m,straight_line_distance_m,source_node,target_node,walkability_field,day_type,hour,warm_start_enabled,hard_overlap_mode,seed_index,seed,steps,replicas,slices,duration_sec,baseline_k_paths_found,baseline_total_cost,baseline_total_length,baseline_max_similarity,baseline_within_theta,sqa_all_paths_found,sqa_total_cost,sqa_total_length,sqa_selected_edge_count,sqa_max_similarity,sqa_max_shared_weight,sqa_within_theta,sqa_within_hard_budget,sqa_within_pathwise_ratio,sqa_feasible,sqa_matches_baseline_set,sqa_total_cost_gap_vs_baseline,k_paths_requested,run_dir,log_file,primary_outcome
d0400_dynwd05,d0400,400,399.89096238073773,24,318,dynwd05,weekday,05,False,budget,0,42,60,12,20,47.8,2,1996.9823739418498,1458.6523739418499,0.17809243699322067,True,False,,,0,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/runs/d0400_dynwd05/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/logs/d0400_dynwd05__seed_042.log,no_route
d0400_dynwd08,d0400,400,399.89096238073773,24,318,dynwd08,weekday,08,False,budget,0,42,60,12,20,48.102,2,1979.72737394185,1458.6523739418499,0.17563804822294904,True,False,,,0,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/runs/d0400_dynwd08/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/logs/d0400_dynwd08__seed_042.log,no_route
d0400_dynwd12,d0400,400,399.89096238073773,24,318,dynwd12,weekday,12,False,budget,0,42,60,12,20,48.141,2,1979.3473739418496,1458.6523739418499,0.17532857517328793,True,False,,,0,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/runs/d0400_dynwd12/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/logs/d0400_dynwd12__seed_042.log,no_route
d0400_dynwd17,d0400,400,399.89096238073773,24,318,dynwd17,weekday,17,False,budget,0,42,60,12,20,46.621,2,1980.2223739418496,1458.6523739418499,0.17527297153671678,True,False,,,0,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/runs/d0400_dynwd17/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/logs/d0400_dynwd17__seed_042.log,no_route
d0400_dynwd21,d0400,400,399.89096238073773,24,318,dynwd21,weekday,21,False,budget,0,42,60,12,20,48.219,2,1996.9823739418498,1458.6523739418499,0.17809243699322067,True,False,,,0,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/runs/d0400_dynwd21/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/logs/d0400_dynwd21__seed_042.log,no_route
d0400_dynwe05,d0400,400,399.89096238073773,24,318,dynwe05,weekend,05,False,budget,0,42,60,12,20,48.109,2,1996.9823739418498,1458.6523739418499,0.17809243699322064,True,False,,,0,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/runs/d0400_dynwe05/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/logs/d0400_dynwe05__seed_042.log,no_route
d0400_dynwe08,d0400,400,399.89096238073773,24,318,dynwe08,weekend,08,False,budget,0,42,60,12,20,47.163,2,1990.9723739418498,1458.6523739418499,0.17604677724852774,True,False,,,0,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/runs/d0400_dynwe08/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/logs/d0400_dynwe08__seed_042.log,no_route
d0400_dynwe12,d0400,400,399.89096238073773,24,318,dynwe12,weekend,12,False,budget,0,42,60,12,20,48.099,2,1983.0973739418496,1458.6523739418499,0.17576928722226695,True,False,,,0,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/runs/d0400_dynwe12/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/logs/d0400_dynwe12__seed_042.log,no_route
d0400_dynwe17,d0400,400,399.89096238073773,24,318,dynwe17,weekend,17,False,budget,0,42,60,12,20,45.667,2,1990.5973739418496,1458.6523739418499,0.1766127798908768,True,False,,,0,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/runs/d0400_dynwe17/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/logs/d0400_dynwe17__seed_042.log,no_route
d0400_dynwe21,d0400,400,399.89096238073773,24,318,dynwe21,weekend,21,False,budget,0,42,60,12,20,45.561,2,1996.9823739418498,1458.6523739418499,0.17809243699322067,True,False,,,0,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/runs/d0400_dynwe21/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off/logs/d0400_dynwe21__seed_042.log,no_route
